Title of Each Class,Trading symbol(s),Name of Each Exchange on Which Registered
"""Class A Common Stock, $0.01 par value""",CMCSA,The Nasdaq Stock Market LLC
0.000% Notes due 2026,CMCS26,The Nasdaq Stock Market LLC
0.250% Notes due 2027,CMCS27,The Nasdaq Stock Market LLC
1.500% Notes due 2029,CMCS29,The Nasdaq Stock Market LLC
0.250% Notes due 2029,CMCS29A,The Nasdaq Stock Market LLC
0.750% Notes due 2032,CMCS32,The Nasdaq Stock Market LLC
1.875% Notes due 2036,CMCS36,The Nasdaq Stock Market LLC
1.250% Notes due 2040,CMCS40,The Nasdaq Stock Market LLC
9.455% Guaranteed Notes due 2022,CMCSA/22,New York Stock Exchange
5.50% Notes due 2029,CCGBP29,New York Stock Exchange
2.0% Exchangeable Subordinated Debentures due 2029,CCZ,New York Stock Exchange
