,,,,,% Change % Change 2019 to 2020
"Year ended December 31 (in millions,except per share data) $",2021,2020,2019,2020 to 2021,% Change % Change 2019 to 2020
Revenue,"116,385 $","103,564 $","108,942",12.4 %,(4.9)%
Costs and Expenses:,,,,,
Programming and production,"38,450","33,121","34,440",16.1,(3.8)
Other operating and administrative,"35,619","33,109","32,807",7.6,0.9
"Advertising,marketing and promotion","7,695","6,741","7,617",14.2,(11.5)
Depreciation,"8,628","8,320","8,663",3.7,(4.0)
Amortization,"5,176","4,780","4,290",8.3,11.4
Total costs and expenses,"95,568","86,071","87,817",11.0,(2.0)
Operating income,"20,817","17,493","21,125",19.0,(17.2)
Interest expense,"(4,281)","(4,588)","(4,567)",(6.7),0.5
"Investment and other income (loss), net","2,557","1,160",438,120.4,164.8
Income before income taxes Income tax expense,"19,093","14,065","16,996",35.7,(17.2)
Net income,"(5,259)","(3,364)","(3,673)",56.3,(8.4)
Less: Net income (loss) atributable to noncontrolling interests,"13,833","10,701","13,323",29.3,(19.7)
and redeemable subsidiary preferred stock,(325),167,266,NM,(37.5)
Net income attributable to Comcast Corporation Basic earnings per common share attributable to Comcast,"$ 14,159 $","10,534 $","13,057",34.4 %,(19.3)%
Corporation shareholders $ Diluted earnings per common share attributable to,3.09 $,2.30 $,2.87,34.3 %,(19.9)%
Comcast Corporation shareholders $,3.04 $,2.28 $,2.83,33.3 %,(19.4)%
Adjusted EBITDA(a),"$ 34,708 $","30,826 $","34,258",12.6 %,(10.0)%
