,2021,2020,2019,% Change,2020 to 2021,,2019 to 2020,Constant
,,,,,,C Constant,,Currency
Year ended December 31 (in millions),Actual,Actual,,Actual,Actual,,Actual,Changela)
Revenue,,,,,,,,
Direct-to-consumer,"$ 16,455 $","15,223 $",,"15,538",8.1%,2.0%,(2.0)%,(3.0)%
Content,"1,341","1,373",,"1,432",(2.3),(7.4),(4.1),(4.9)
Advertising,"2,489","1,998",,"2,249",24.6,18.4,(11.2),(12.0)
Total revenue,"20,285","18,594",,"19,219",9.1,3.1,(3.3),(4.2)
Operating costs and expenses,,,,,,,,
Programming and production,"8,949","8,649",,"8,865",3.5,(1.3),(2.4),(3.5)
Direct network costs,"2,612","2,086",,"1,746",25.2,17.1,19.5,18.6
Other,"6,364","5,905",,"5,509",7.8,2.0,7.2,6.3
Total operating costs and expenses,"17,925","16,640",,"16,120",7.7,2.2,3.2,2.2
AdjustedEBITDA,$,"2,359 $","1,954 $","3,099",20.8 %,10.2 %,(37.0)%,(37.6)%
