(in millions),,,,Depreciation and,Capital,Cash Paid for Intangible
,,Revenue(a Adjusted EBITDA(b),,Amortization,Expenditures,Assets
2020,,,,,,
Cable Communications,$,"60,051 $","25,270 $","7,753 $","6,605 $","1,333"
NBCUniversal,,,,,,
Media,,"18,936","5,574",993,122,176
Studios,,"8,134","1,041",67,12,5
Theme Parks,,"2,094",(477),772,"1,171",56
Headquarters and Other,,53,(563),475,186,136
Eliminations(@),,"(2,006)",(220),一,一,一
NBCUniversal,,"27,211","5,355","2,307","1,491",373
Sky,,"18,594","1,954","3,034",959,741
Corporate and Other,,248,"(1,785)",6,124,8
Eliminations(a),,"(2,540)",32,,,
Comcast Consolidated,$,"103,564 $","30,826 $","13,100 $","9,179 $","2,455"
,,,,,,Cash Paid for
(in millions),,Revenue(a） Adjusted EBITDA(b),,Depreciation and Amortization,Capital Expenditures,Intangible Assets
2019,,,,,,
Cable Communications,$,"58,082 $","23,266 $","7,994 $","6,909 $",
NBCUniversal,,,,,,"1,426"
Media,,"19,947","5,834",924,204,101
Studios,,"9,352","1,058",49,19,10
Theme Parks,,"6,213","2,498",697,"1,605",60
Headquarters and Other,,31,(690),459,244,166
Eliminations(a),,"(1,585)",11,,,
NBCUniversal,,"33,958","8,711","2,129","2,072",337
Sky,,"19,219","3,099","2,699",768,707
Corporate and Other,,333,(820),131,204,
Eliminations(a),,"(2,650)",2,,,5
Comcast Consolidated,$,"108,942 $","34,258 $","12,953 $","9,953 $","2,475"
