,2021,2021,2021,2020,2020,2020
,Weighted-Average,Gross,,,Gross,
December 31(in millions),"Original Useful Life as of December 31,2021",Carrying Amount,Accumulated Amortization,,Carrying Amount,Accumulated Amortization
Indefinite-Lived Intangible Assets:,,,,,,
,N/A $,"59,365",,$,"59,365",
Franchise rights FCC licenses,,,,,"2,804",
Finite-Lived Intangible Assets:,N/A,"2,807",,,,
Customer relationships,14 years,"22,119 $",,"(10,612)","22,197 $","(8,914)"
Software,5 years,"20,329",,,"17,819","(9,518)"
Other agreements and rights,28 years,"11,870",,"(11,520) (1,413)","12,394","(1,393)"
Total,,"116,491 $",,"(23,545) $","114,579 $","(19,825)"
