Type of Action,Applicable Time,Date of Action
"Delivery of Request for Extension of Creditfor,or notice for, or determination of anyScreen Rate related to:",,
Borrowing or prepayment of Base RateLoans,11:00 a.m.,Same Business Day as such LoansBorrowing or prepayment
Conversion into Base Rate Loans,11:00 a.m.,Same Business Day as such Conversion
"Borrowing, prepayment or Continuation of,or Conversion into,Floating RateLoans(other than Competitive Loans) denominatedin Canadian Dollars,and CDOR",10:00 a.m.,"3 Business Days prior to such prepayment,Borrowing, Continuation or Conversion"
"Borrowing, prepayment or Continuation of,or Conversion into,Floating Rate Loans(other than Competitive Loans) denominatedin Dollars",11:00 a.m.,"3 Business Days prior to such prepayment,Borrowing, Continuation or Conversion"
"Borrowing, prepayment or Continuation of,or Conversion into,Floating Rate Loans(other than Competitive Loans) denominatedin Euros,and EURIBOR",10:00 a.m.,"3 Business Days prior to such prepayment,Borrowing, Continuation or Conversion"
"Borrowing, prepayment-0r Continuation of, orConversion into, Floating Rate Loans (otherthan Competitive Loans) denominated inSterling",10:0011:00 a.m.,"35 Business Days prior to such prepayment,Borrowing, Continuation or Conversion"
"Borrowing, prepayment or Continuation of,or Conversion into, Floating Rate Loans(other than Competitive Loans) denominatedin Yen",10:00 a.m.,"4 Business Days prior to such prepayment,Borrowing, Continuation or Conversion"
Letter of Credit Action,11:00 a.m.,2 Business Days prior to such action (or suchlesser time as is acceptable to an IssuingLender)
Voluntary reduction in or termination ofRevolving Commitments,11:00 a.m.,3 Business Days prior to such reduction ortermination
Payments by Lenders or Borrower toAdministrative Agent (other than Paymentsby Lenders to Administrative Agent of BaseRate Loans),1:00 p.m.,On the date payment is due
Payments by Lenders to AdministrativeAgent of Base Rate Loans,2.00 p.m.,On the date payment is due
Borrowing of Fixed Rate Loans,11:00 a.m.,1 Business Days prior to such Borrowing
Borrowing of Competitive Loans that areFloating Rate Loans,11:00 a.m.,4 Business Days prior to such Borrowing
