,2021,2021,% Change 2020 to 2020 2021,% Change 2020 to 2020 2021,2020,2019,% Change 2019 to 2020
,,Actual,Constant Constant Currency Currency,Change,Actual,Constant Currency,Constant Currency Change
Revenue,,,,,,,
Direct-to-consumer,$,"16,455 $","16,125",2.0 %,"15,223 $","15,698",(3.0)%
Content,,"1,341","1,448",(7.4),"1,373","1,443",(4.9)
Advertising,,"2,489","2,101",18.4,"1,998","2,270",(12.0)
Total revenue,,"20,285","19,675",3.1,"18,594","19,411",(4.2)
Operating costs and expenses,,,,,,,
Programming and production,,"8,949","9,064",(1.3),"8,649","8,967",(3.5)
Direct network costs,,"2,612","2,230",17.1,"2,086","1,759",18.6
Other,,"6,364","6,239",2.0,"5,905","5,556",6.3
Total operating costs and expenses,,"17,925","17,533",2.2,"16,640","16,282",2.2
Adjusted EBITDA,$,"2,359 $","2,142",10.2%$,"1,954 $","3,129",(37.6)%
Average monthly direct-to-consumer revenue per customer relationship,$,59.29 $,57.79,2.6 % $,54.56 $,56.67,(3.7)%
