December 31 (in billions),2021,2020
Debt Subject to Cross-Guarantees,Comcast,"$,85.9,$,85.7"
,Comcast Cable (a),"2.1,2.1,2.1,2.1"
,NBCUniversal (a),"1.6,2.8,1.6,2.8"
,89.6,"90.6,89.6,90.6"
Debt Subject to One-Way Guarantees,Sky,"6.3,8.4,Other (a),0.1,2.8"
,6.5,"11.2,6.5,11.2"
Debt Not Guaranteed,Universal Beijing Resort (b),"3.6,2.5,Other,1.2,1.1"
,4.7,"3.6,4.7,3.6"
"Debt issuance costs, premiums, discounts, fair value adjustments for acquisition accounting and hedged positions, net",(6.0),(1.6)
Total debt,$,"94.8,$,103.8"
