Year ended December 31(in millions),2021,,2020,2019
Residential:,,,,
Broadband,"22,979",$,"20,599 $","18,752"
Video,"22,079",,"21,937","22,270"
Voice,"3,417",,"3,532","3,879"
Wireless,"2,380",,"1,574","1,167"
Business services,"8,933",,"8,191","7,795"
Advertising,"2,820",,"2,594","2,465"
Other,"1,719",,"1,624","1,754"
Total Cable Communications,"64,328",,"60,051","58,082"
Advertising,"10,291",,"8,296","9,267"
Distribution,"10,449",,"8,795","8,887"
Other,"2,040",,"1,845","1,793"
Total Media,"22,780",,"18,936","19,947"
Content licensing,"7,565",,"6,557","6,373"
Theatrical,691,,418,"1,469"
Home entertainment and other,"1,193",,"1,159","1,510"
Total Studios,"9,449",,"8,134","9,352"
Total Theme Parks,"5,051",,"2,094","6,213"
Headquarters and Other,87,,53,31
Eliminations(a),"(3,048)",,"(2,006)","(1,585)"
Total NBCUniversal,"34,319",,"27,211","33,958"
Direct-to-consumer,"16,455",,"15,223","15,538"
Content,"1,341",,"1,37","1,432"
Advertising,"2,489",,"1,998","2,249"
Total Sky,"20,285",,"18,594","19,219"
Corporate and Other,461,,248,
Eliminations(a),,,,333
Total revenue,"(3,008) $ 116,385",$,"(2,540) 103,564 $","(2,650) 108,942"
