,NBCUniversal,NBCUniversal,NBCUniversal,NBCUniversal,NBCUniversal,NBCUniversal,NBCUniversal,,Corporate,
,Cable,Cable Networks,Broadcast Television,Filmed Entertainment,Media,,Theme,,Corporate,
"(in millions) Balance,December 31,2019$","Communications 15,074 $","14,067 $","1,059 $","3,321 $",$,Studios $,"Parks 6,739$","Sky 28,461 $",and Other 4$,"Total 68,725"
Acquisitions,122,,,27,,,,,,149
Foreign currency translation and other,68,(73),3,(4),,,314,"1,489",(2),"1,795"
"Balance,December 31,2020","15,264","13,994","1,062","3,344",,,"7,053","29,950",2,"70,669"
Segment change,,"(13,994)","(1,062)","(3,344)","14,728","3,672",,,,
Acquisitions Foreign currency,950,,,,6,3,,21,,979
translation and other,(22),,,,(34),(3),(624),(775),(2),"(1,459)"
"Balance,December 31, 2021","16,192 $",$,$,,"$ 14,700 $ 3,672 $",,,"6,429 $ 29,196 $",$,"70,189"
