"Weighted-Average Interest Rate as of December 31, 2021","Weighted-Average Interest Rate as of December 31, 2020",2021(b),2020(b),December 31 (in millions)
Term loans,4.41 %,2.07 %,"$ 3,148","$ 7,641"
"Senior notes with maturities of 5 years or less, at face value",3.50 %,3.41 %,"$ 18,443","$ 19,190"
"Senior notes with maturities between 5 and 10 years, at face value",3.16 %,3.47 %,"$ 22,964","$ 23,114"
"Senior notes with maturities greater than 10 years, at face value",3.67 %,4.03 %,"$ 54,536","$ 54,203"
Finance lease obligations and other,,,"$ 1,713","$ 1,261"
"Debt issuance costs, premiums, discounts, fair value adjustments for acquisition accounting and hedged positions, net",,,",$(5,954)","$(1,649)"
Total debt,3.74 % (a),3.67 % (a),"$ 94,850","$ 103,760"
Less: Current portion,,,"$ 2,132","$ 3,146"
Long-term debt,,,"$ 92,718","$ 100,614"
