,,,Depreciation and Amortization,Capital Expenditures,Cash Paid for Intangible Assets
(in millions),,Revenue(a Adjusted EBITDA(b),Depreciation and Amortization,Capital Expenditures,Cash Paid for Intangible Assets
2021,,,,,
Cable Communications,"$ 64,328 $","28,097 $","7,811 $","6,930 $","1,438"
NBCUniversal,,,,,
Media,"22,780","4,569","1,030",100,163
Studios,"9,449",884,53,5,11
Theme Parks,"5,051","1,267",906,614,43
Headquarters and Other,87,(840),478,366,143
Eliminations(a),"(3,048)",(205),,,
NBCUniversal,"34,319","5,675","2,466","1,086",360
Sky,"20,285","2,359","3,379",948,814
Corporate and Other,461,"(1,358)",147,210,272
Eliminations(a),"(3,008)",(65),,,
Comcast Consolidated,"$ 116,385 $","34,708 $","13,804 $","9,174 $","2,883"
