(in millions),,2022,2023,2024,2025,2026,,,"Fair Value as of Estimated TotalDecember31,2021",
(in millions),,2022,2023,2024,2025,2026,,,"Fair Value as of Estimated TotalDecember31,2021",Thereafter
Debt,,,,,,,,,,
Fixed-rate debt,$,"2,135 $","1,056","$ 3,824",$,"6,136 $","5,232 $","78,771 $","97,155 $","105,613"
Average interest rate(a),,6.3 %,2.0%,,3.0%,3.4%,2.4%,3.5%,3.5 %,
Variable-rate debt,$,$,1,$,500$,丨 $,$ 1,"3,148$","3,648$","3,654"
Average interest rate,,1%,1%,,1.7 %,1%,1%,4.4 %,4.0%,
Fixed-to-Variable Swaps,,,,,,,,,,
Notional amount(b),$,一 $,一,$,,$,"1,250$","1,250$","2,500$",(24)
Average pay rate,,1%,1%,,1%,1%,3.5%,4.1 %,3.8%,
Average receive rate,,-%,一%,,一%,一%,3.3%,4.0%,3.7 %,
