Signature,Title,Date
/s/BRIAN L.ROBERTS,Chairman and Chief Executive Officer; Director,"February 2,2022"
Brian L.Roberts /s/MICHAEL J. CAVANAGH,(Principal Executive Officer) Chief Financial Officer,"February 2,2022"
Michael J. Cavanagh /s/DANIEL C.MURDOCK,"(Principal Financial Officer) Executive Vice President, Chief Accounting","February 2,2022"
Daniel C.Murdock,Officer and Controller (Principal Accounting Officer),
/s/KENNETHJ.BACON Kenneth J. Bacon,Director,"February 2, 2022"
/s/MADELINE S.BELL,Director,"February 2, 2022"
Madeline S. Bell /s/NAOMI M.BERGMAN,,
Naomi M. Bergman,Director,"February 2,2022"
/s/EDWARD D.BREEN,Director,"February 2,2022"
Edward D.Breen,,
/s/ GERALD L.HASSELL,Director,"February 2, 2022"
Gerald L. Hassell,,
/s/JEFFREYA.HONICKMAN,Director,
Jeffrey A.Honickman,,"February 2,2022"
/s/MARITZAG.MONTIEL,Director,
Maritza G.Montiel,,"February 2, 2022"
/s/ASUKANAKAHARA,Director,"February 2,2022"
Asuka Nakahara,,
/s/ DAVID C. NOVAK,,
,Director,"February 2,2022"
David C.Novak,,
