Cable Network,"Approximate U.S. Households as of December 31, 2021 (in millions)(a)",Description of Programming
USA Network,80,General entertainment and sports
E!,79,Entertainment and pop culture
Syfy,79,Imagination-based entertainment
Bravo,79,"Entertainment, culture and arts"
MSNBC,79,"News, political commentary and information"
CNBC,78,Business and financial news
Oxygen,70,"Crime, mystery and suspense for women"
Golf Channel,66,Golf competition and golf entertainment
Universal Kids,53,Children’s entertainment
The Olympic Channel,47,Olympic sports events and Olympic-themed original content
Universo,37,Spanish language entertainment
CNBC World,29,Global financial news
