Weighted-Average 2020,
"Original Useful Life December 31 (in millions) as of December 31,2021",2021 $
Distribution systems,"11 years $ 41,814"
Customer premise equipment 6 years,"40,861 25,772 26,323"
"Buildings,theme park infrastructure and leasehold improvements 31 years Other equipment","20,258 15,885"
11 years,"16,960 14,371"
N/A,"3,131 7,095"
,"1,722 1,848"
"N/A Property and equipment,at cost","109,658 106,383"
,"55,611 54,388"
"Less:Accumulated depreciation Property and equipment, net $","54,047 $ 51,995"
