(in millions, except per share data),2021,2020,2019
Redeemable Noncontrolling Interests and Redeemable Subsidiary Preferred Stock,Balance, beginning of year,"$ 1,280","$ 1,372,$ 1,316"
Redemption of subsidiary preferred stock,(725),"—""—""",—,
Contributions from (distributions to) noncontrolling interests, net,(77),(51),(62)
Other,(10),(190),(38),
Net income (loss),51,149,156,
Balance, end of year,$ 519,"$ 1,280","$ 1,372"
Class A common stock,Balance, beginning of year,$ 54,"$ 54,$ 54"
Repurchases of common stock under repurchase program and employee plans,—,—,—,
Balance, end of year,$ 54,$ 54,$ 54
Class B common stock,Balance, beginning and end of year,$ —,"$ —,$ —"
Additional Paid-In Capital,Balance, beginning of year,"$ 39,464","$ 38,447,$ 37,461"
Stock compensation plans,"1,037",920,783,
Repurchases of common stock under repurchase program and employee plans,(596),(143),(34),
Employee stock purchase plans,269,255,222,
Other,(2),(15),15,
Balance, end of year,"$ 40,173","$ 39,464","$ 38,447"
Retained Earnings,Balance, beginning of year,"$ 56,438","$ 50,695,$ 41,983"
Cumulative effects of adoption of accounting standards,—,(124),—,
Repurchases of common stock under repurchase program and employee plans,"(4,088)",(407),(485),
Dividends declared,"(4,613)","(4,250)","(3,860)",
Other,6,(10),—,
Net income (loss),14,159,10,"534,13,057"
Balance, end of year,"$ 61,902","$ 56,438","$ 50,695"
Treasury Stock at Cost,Balance, beginning and end of year,"$ (7,517)","$ (7,517),$ (7,517)"
Accumulated Other Comprehensive Income (Loss),Balance, beginning of year,"$ 1,884","$ 1,047,$ (368)"
Other comprehensive income (loss),(404),837,"1,415",
Balance, end of year,"$ 1,480","$ 1,884","$ 1,047"
Noncontrolling Interests,Balance, beginning of year,"$ 1,415","$ 1,148,$ 889"
Other comprehensive income (loss),7,60,(13),
Contributions from (distributions to) noncontrolling interests, net,353,192,176
Other,—,(3),(14),
Net income (loss),(377),18,110,
Balance, end of year,"$ 1,398","$ 1,415","$ 1,148"
Total equity,"$ 97,490","$ 91,738","$ 83,874",
Cash dividends declared per common share,$ 1.00,$ 0.92,$ 0.84,
