Total Media,"22,780","18,936","19,947"
Year ended December 31 (in millions)\t2021\t2020\t2019,,,
Residential:\t\t\t,,,
Broadband\t$22,979\t$20,599\t$18,752
Video\t$22,079\t$21,937\t$22,270
Voice\t3,417\t3,532\t3,879
Wireless\t2,380\t1,574\t1,167
Business services\t8,933\t8,191\t7,795
Advertising\t2,820\t2,594\t2,465
Other\t1,719\t1,624\t1,754
Total Cable Communications\t64,328\t60,051\t58,082
Advertising\t10,291\t8,296\t9,267
Distribution\t10,449\t8,795\t8,887
Other\t2,040\t1,845\t1,793
Total Media\t22,780\t18,936\t19,947
Content licensing\t7,565\t6,557\t6,373
Theatrical\t691\t418\t1,469,,
Home entertainment and other\t1,193\t1,159\t1,510
Content licensing,"7,565","6,557","6,373"
Theatrical,691,418,"1,469"
Home entertainment and other,"1,193","1,159","1,510"
Total Studios,"9,449","8,134","9,352"
Total Theme Parks,"5,051","2,094","6,213"
Headquarters and Other,87,53,31
Eliminations(a),"(3,048)","(2,006)","(1,585)"
Total NBCUniversal,"34,319","27,211","33,958"
Direct-to-consumer,"16,455","15,223","15,538"
Content,"1,341","1,373","1,432"
Advertising,"2,489","1,998","2,249"
Total Sky,"20,285","18,594","19,219"
Corporate and Other,461,248,333
Eliminations(a),"(3,008)","(2,540)","(2,650)"
Total revenue,"$116,385","$103,564","$108,942"
