December 31 (in millions)\tWeighted-Average\tOriginal Useful Life\tas of December 31, 2021\t2021\t2020
Distribution systems\t11 years\t$41,"814\t$\t40,861"
Customer premise equipment\t6 years\t25,"772\t26,323"
Buildings,"theme park infrastructure and leasehold improvements\t31 years\t20,258\t15,885"
Other equipment\t11 years\t16,"960\t14,371"
Construction in process\tN/A\t3,"131\t7,095"
Land\tN/A\t1,"722\t1,848"
Property and equipment,"at cost\t\t109,658\t106,383"
Less: Accumulated depreciation\t\t55,"611\t54,388"
Property and equipment,"net\t\t$54,047\t$51,995"
