(in millions),,Revenue(a),Adjusted EBITDA(b),Depreciation and Amortization,Capital Expenditures,Cash Paid for Intangible Assets
2020,Cable Communications,"$ 60,051","$ 25,270","$ 7,753","$ 6,605","$ 1,333"
2020,NBCUniversal Media,"$ 18,936","$ 5,574",$ 993,$ 122,$ 176
2020,NBCUniversal Studios,"$ 8,134","$ 1,041",$ 67,$ 12,$ 5
2020,NBCUniversal Theme Parks,"$ 2,094",(477),$ 772,"$ 1,171",$ 56
2020,NBCUniversal Headquarters and Other,$ 53,(563),$ 475,$ 186,$ 136
2020,NBCUniversal Eliminations(a),"$(2,006)",$(220),-,-,-
2020,NBCUniversal,"$ 27,211","$ 5,355","$ 2,307","$ 1,491",$ 373
2020,Sky,"$ 18,594","$ 1,954","$ 3,034",$ 959,$ 741
2020,Corporate and Other,$ 248,"(1,785)",$ 6,$ 124,$ 8
2020,Eliminations(a),"$(2,540)",32,-,-,-
2020,Comcast Consolidated,"$ 103,564","$ 30,826","$ 13,100","$ 9,179","$ 2,455"
2019,Cable Communications,"$ 58,082","$ 23,266","$ 7,994","$ 6,909","$ 1,426"
2019,NBCUniversal Media,"$ 19,947","$ 5,834",$ 924,$ 204,$ 101
2019,NBCUniversal Studios,"$ 9,352","$ 1,058",$ 49,$ 19,$ 10
2019,NBCUniversal Theme Parks,"$ 6,213","$ 2,498",$ 697,"$ 1,605",$ 60
2019,NBCUniversal Headquarters and Other,$ 31,(690),$ 459,$ 244,$ 166
2019,NBCUniversal Eliminations(a),"$(1,585)",11,-,-,-
2019,NBCUniversal,"$ 33,958","$ 8,711","$ 2,129","$ 2,072",$ 337
2019,Sky,"$ 19,219","$ 3,099","$ 2,699",$ 768,$ 707
2019,Corporate and Other,$ 333,(820),$ 131,$ 204,$ 5
2019,Eliminations(a),"$(2,650)",2,-,-,-
2019,Comcast Consolidated,"$ 108,942","$ 34,258","$ 12,953","$ 9,953","$ 2,475"
