Long-Term Debt Outstanding,,,,,
,Weighted-Average Interest Rate as of,"Weighted-Average Interest Rate as of December 31,",,,
December 31(in millions),"December 31,2021",2020,,2021(),2020()
Term loans,4.41 %,2.07 %,$,"3,148 $","7,641"
"Senior notes with maturities of 5 years or less,at face value",3.50 %,3.41%,,"18,443","19,190"
"Senior notes with maturities between 5 and 10 years,at face value",3.16 %,3.47 %,,"22,964","23,114"
"Senior notes with maturities greater than 10 years,at face value",3.67 %,4.03 %,,"54,536","54,203"
Finance lease obligations and other,,,,"1,713","1,261"
"Debt issuance costs,premiums,discounts, fair value adjustments for acquisition accounting and hedged positions,",,,,,
net,,,,"(5,954)","(1,649)"
Total debt,3.74 % (),3.67 % (a),,"94,850","103,760"
,,,,"2,132","3,146"
Less: Current portion,,,$,,
Long-term debt,,,,"92,718 $","100,614"
