Type of Action,Applicable Time,Date of Action
"Delivery of Request for Extension of Credit for, or notice for, or determination of any Screen Rate related to:",,
Borrowing or prepayment of Base Rate Loans,11:00 a.m.,"Same Business Day as such Loans Borrowing or prepayment,"
Conversion into Base Rate Loans,11:00 a.m.,"Same Business Day as such Conversion,"
"Borrowing, prepayment or Continuation of, or Conversion into, Floating Rate Loans (other than Competitive Loans) denominated in Canadian Dollars, and CDOR",10:00 a.m.,"3 Business Days prior to such prepayment, Borrowing, Continuation or Conversion,"
"Borrowing, prepayment or Continuation of, or Conversion into, Floating Rate Loans (other than Competitive Loans) denominated in Dollars",11:00 a.m.,"3 Business Days prior to such prepayment, Borrowing, Continuation or Conversion,"
"Borrowing, prepayment or Continuation of, or Conversion into, Floating Rate Loans (other than Competitive Loans) denominated in Euros, and EURIBOR",10:00 a.m.,"3 Business Days prior to such prepayment, Borrowing, Continuation or Conversion,"
"Borrowing, prepayment-0r Continuation of, or Conversion into, Floating Rate Loans (other than Competitive Loans) denominated in Sterling",,
"Borrowing, prepayment or Continuation of, or Conversion into, Floating Rate Loans (other than Competitive Loans) denominated in Yen",10:00 a.m.,"4 Business Days prior to such prepayment, Borrowing, Continuation or Conversion"
Letter of Credit Action,11:00 a.m.,2 Business Days prior to such action (or such lesser time as is acceptable to an Issuing Lender)
Voluntary reduction in or termination of Revolving Commitments,11:00 a.m.,3 Business Days prior to such reduction or termination
Payments by Lenders or Borrower to Administrative Agent (other than Payments by Lenders to Administrative Agent of Base Rate Loans),1:00 p.m.,On the date payment is due
Payments by Lenders to Administrative Agent of Base Rate Loans,2.00 p.m.,On the date payment is due
Borrowing of Fixed Rate Loans,11:00 a.m.,1 Business Day prior to such Borrowing
Borrowing of Competitive Loans that are Floating Rate Loans,11:00 a.m.,4 Business Days prior to such Borrowing
