"For the Year Ended September 30,",2023,2023,2023,2023,2022
,Funds from Funds from Other than Dedicated Dedicated Collections Collections Intra- (Consolidated (Consolidated Departmental Consolidated Consolidated,Funds from Funds from Other than Dedicated Dedicated Collections Collections Intra- (Consolidated (Consolidated Departmental Consolidated Consolidated,Funds from Funds from Other than Dedicated Dedicated Collections Collections Intra- (Consolidated (Consolidated Departmental Consolidated Consolidated,Funds from Funds from Other than Dedicated Dedicated Collections Collections Intra- (Consolidated (Consolidated Departmental Consolidated Consolidated,
Unexpended Appropriations,Totals),Totals),Eliminations,Total,Total
Beginning Balances S,1$,"46,991",$ 1,"$ 46,992",
Appropriations Received,,,,,"$ 45,969"
Appropriations Transferred In(Out),1,"36,194 3,025",一,"36,194 3,025","38,649"
Other Adjustments,1,,1,,(72)
,1 (1),"(296) (36,198)",一,(296),"(1,059)"
Appropriations Used,,,一,"(36,199)","(36,495)"
Net Change in Unexpended Appropriations,(1),"2,725",1,"2,724","1,023"
Total Unexpended Appropriations: Ending,$ $ 1,"49,716",$ 1,"$ 49,716","$46,992"
Cumulative Results of Operations,$,,,,
Beginning Balances,"3,178 $","25,058",$,"$ 28,236","$ 30,135"
"Adjustments Beginning Balances,as Adjusted",一,一,一,,(1)
Other Adjustments,"3,178","25,058",1,"28,236","30,134"
Appropriations Used,1,(25),一,(25),(30)
Donations and Forfeitures of,1,"36,198",,"36,199","36,495"
Cash and Cash Equivalents,21,1,一,21,17
Transfers In(Out) Without Reimbursement,193,(35),一,158,18
Donations and Forfeitures of Property,13,20,1,33,1
Imputed Financing,93,230,(49),274,203
Non-Entity Collections,1,(355),1,(355),(193)
Net Cost of Operations,"1,300","(36,827)",49,"(35,478)","(38,408)"
Net Change in Cumulative Results of Operations,"1,621",(794),一,827,"(1,898)"
Total Cumulative Results of Operations: Ending,"4,799","24,264",1,"29,063","28,236"
Net Position,"4,799","73,980",$ 二,"78,779",
,S $,,,$,"$ 75,228"
