"For the Year Ended September 30,",2023,2022
"Pension Actuarial Liability,",,
Beginning of Year,"$31,968","$ 27,382"
Pension Expense:,,
Normal Cost,985,752
Interest on Pension Liability,"907,781","907,781"
Actuarial (Gains) or Losses:,,
From Experience,"1,498",860
From Assumption Changes,,
"Interest Rate,",-368,343
Other,144,"3,013"
"Change in Valuation System,—",1,-96
Total Pension Expense,"3,166","5,653"
Less: Payments to Beneficiaries,"1,148","1,067"
"Pension Actuarial Liability,",,
End of Year,,
Less: Net Assets Available,"21,129","20,740"
for Benefits,,
Actuarial Pension Liability – Unfunded,"$12,857","$ 11,228"
Unfunded,,
Actuarial Assumptions:,,
Rate of Return on Investments,2.87%,2.80%
Rate of Inflation,2.67%,2.61%
Salary Increase,2.92%,2.86%
