Budgetary Resources,Diplomatic Programs,Consular and Border Security Programs,Global Health Programs,Migration and Refugee Assistance,International Programs and Operations,Total
"Unobligated Balance Brought Forward, October 1",$ 4,$,$ 14,$,$,$ 18
Recoveries of Prior Year Unpaid/Paid Obligations,7,$,1,$,$,8
Total Budgetary Resources,$ 11,$,$ 15,$,$,$ 26
Status of Budgetary Resources,New Obligations,$,$,$ 14,$,"$,$ 14"
"Obligations (\Upward Adjustments\"")"," Expired Accounts""",1,$,$,$,"$,$ 1"
"Unobligated, Unexpired Accounts",$,$,$ 1,$,$,$ 1
"Unobligated, Expired Accounts",10,$,$,$,$,$ 10
Total Budgetary Resources,$ 11,$,$ 15,$,$,$ 26
"Outlays, Net","Agency Outlays, Net",$ 61,$,$ 33,$ 10,"$ 1,$ 105"
Net Cost,Total Net Cost,$ 50,$,$,$ 24,"$,$ 74"
