Notes,2023,2022
Intragovernmental Assets: Fund Balance with Treasury,3,"$68,365,$63,835"
Intragovernmental Assets: Investments, Net,"4,21,614,21,180"
Intragovernmental Assets: Accounts Receivable, Net,"5,38,13"
Intragovernmental Assets: Advances and Prepayments,7,"1,362,1,474"
Total Intragovernmental Assets,,"91,379,86,502"
Other than Intragovernmental Assets: Accounts Receivable, Net,"5,98,93"
Other than Intragovernmental Assets: General Property and Equipment, Net,"6,30,073,28,452"
Other than Intragovernmental Assets: Advances and Prepayments,7,"862,931"
Other Assets: Cash and Other Monetary Assets,8,"8,5"
Other Assets: Inventory and Related Property, Net,"10,10,16"
Other Assets: Loans Receivable, Net,"1,1,2"
Total Other than Intragovernmental Assets,,"31,052,29,499"
Total Assets,,"122,431,116,001"
Stewardship Property and Equipment – Heritage Assets,6,
Liabilities: Intragovernmental Liabilities: Accounts Payable,8,"$203,$175"
Liabilities: Intragovernmental Liabilities: Advances from Others and Deferred Revenue,8,"344,346"
Liabilities: Intragovernmental Liabilities: Other,8,"78,68"
Total Intragovernmental Liabilities,,"625,589"
Other than Intragovernmental Liabilities: Accounts Payable: International Organizations Liability,10,"593,501"
Other than Intragovernmental Liabilities: Accounts Payable: Other Accounts Payable,10,"2,541,2,414"
Other than Intragovernmental Liabilities: Federal Employee and Veteran Benefits Payable,9,"35,841,33,815"
Other than Intragovernmental Liabilities: Advances from Others and Deferred Revenue,9,"73,71"
Other than Intragovernmental Liabilities: Other Liabilities: International Organizations Liability,10,"2,881,2,236"
Other than Intragovernmental Liabilities: Other Liabilities: Environmental and Disposal Liability,8,"52,52"
Other than Intragovernmental Liabilities: Other Liabilities: Other,8,"1,046,1,095"
Total Other than Intragovernmental Liabilities,,"43,027,40,184"
Total Liabilities,,"43,652,40,773"
Contingencies and Commitments,12,
NET POSITION: Unexpended Appropriations – Funds from Dedicated Collections,13,"49,716,46,991"
NET POSITION: Unexpended Appropriations – Funds from Other Than Dedicated Collections,13,"49,716,46,992"
NET POSITION: Total Unexpended Appropriations,,"49,716,46,992"
NET POSITION: Cumulative Results of Operations – Funds from Dedicated Collections,13,"4,799,3,178"
NET POSITION: Cumulative Results of Operations – Funds from Other Than Dedicated Collections,13,"24,264,25,058"
NET POSITION: Total Cumulative Results of Operations,,"29,063,28,236"
Total Net Position,,"78,779,75,228"
Total Liabilities and Net Position,,"122,431,116,001"
