"For the Year Ended September 30,",2023,2022
"Pension Actuarial Liability,",,
Beginning of Year,"$31,968","$ 27,382"
Pension Expense:,,
Normal Cost,985,752
Interest on Pension Liability,907,781
Actuarial (Gains) or Losses:,,
From Experience From Assumption Changes,"1,498",860
Interest Rate,,
Other,(368),343
,144,"3,013"
Change in Valuation System,1,(96)
Total Pension Expense,"3,166","5,653"
"Less: Payments to Beneficiaries Pension Actuarial Liability,","1,148","1,067"
End of Year Less: Net Assets Available,"33,986","31,968"
for Benefits,"21,129","20,740"
Actuarial Pension Liability- Unfunded,"$12,857","$11,228"
Actuarial Assumptions:,,
Rate of Return on Investments,2023 2.87%,2022 2.80%
Rate of Inflation,2.67%,2.61%
Salary Increase,2.92%,2.86%
