,,Amortized (Premium) Interest,Amortized (Premium) Interest,Net,Net,Market Maturity,Market Maturity,Interest Rates,Interest Rates
"As of September 30,2023:",Cost,Discount,,,Receivable Investments,Value,Dates,Range,
"Non-Marketable, Par Value:",,,,,,,,,
Special Issue Securities,"$21,055",$ 一,$ 145,$,"21,200","$21,055",,2024- 2028 1.375%-4.250%,
Subtotal,"21,055",,145,,"21,200","21,055",,,
"Non-Marketable,Market Based:",,,,,,,,,
Israeli Arab Scholarship Programs,5,,,,,,,,
Eisenhower Exchange,,,,,5,4,,2024- 2028 0.375%-2.250%,
Fellowship Fund,8,,,,8,8,,2023- 2029 2.500%-4.125%,
Middle Eastern-Western Dialogue Fund,9,1,,,9,,,2024-2027 0.250%-2.215%,
"Gift Funds, Treasury Bills",27,(1),,一,,9,,,
International Center,13,(1),,1,26,25,,2023- 2027 2.000%-2.750%,
Foreign Service National,,,,1,12,12,2024,0.000%,
Defined Contributions Fund,366,(14),,2,354,293,,2026-2043 0.625%-4.125%,
Subtotal Total Intragovernmental,428,(16),,2,414,351,,,
