"HERITAGE ASSETS For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS For the Years Ended September 30, 2022 and 2023","HERITAGE ASSETS For the Years Ended September 30, 2022 and 2023"
,Diplomatic Reception RoomsCollection,Art BankProgram,Art in EmbassiesProgram*,Cultural HeritageCollection,Library Rare & Special BookCollection
Description,Collectibles - Artand furnishingsfrom the period1750 to 1825,Collection ofAmerican worksof art on paper,Collectionof artworksand artifactsof culturalsignificancecreated byAmerican andinternationalartists,Collectionsinclude fineand decorativearts and othercultural objects,Collectbles -Rare booksand otherpublications ofhistoric value
Acquisition andWithdrawal,Acquired throughdonation orpurchase usingdonated funds.Excess itemsare sold.,Acquiredthroughpurchase.Excess itemsare transferred.,Acquiredthroughpurchase ordonation.Excess items are transferred.,Acquired throughdonation andprofessionalassessment.Excess itemsare sold.Theprogram providesconservation asneeded.,Acquiredthroughdonation.
Condition,Good toexcellent,Poor toexcellent,Good toexcellent,Good toexcellent,Poortogood
Number of Assets -9/30/2021,"1,833","2,685","1,281","19,732","1,378"
Acquisitions,13,40,1,40,6
Adjustments,9,二,2,257,1
Disposals,1,1,1,"3,289",5
Number of Assets -9/30/2022,"1,854","2,725","1,283","16,740","1,379"
Acquisitions,8,16,101,77,1
Adjustments,3,1,"3,300",461,1
Disposals,1,1,6,252,1
Number of Assets -9/30/2023,"1,865","2,741","4,678","17,026","1,380"
