2023,,,,2022,2022,2022
,Consular and Border Funds from Security,Other Dedicated,Funds from Dedicated Collections,Consular and Border Funds from Security,Other Dedicated,Total Funds from Dedicated Collections
"Balance Sheets as of September 30,",Programs,Collections,(Consolidated),Programs,Collections,(Consolidated)
ASSETS,,,,,,
Intragovernmental:,$,,,,116,"3,111"
Fund Balance with Treasury,"$ 4,473",116,"$4,589","$ 2,995",,43
"Investments, Net",1,48,48,1,43,
Advances and Prepayments,119,1,119,83,一,"83 3,237"
Total Intragovernmental Assets,"4,592",164,"4,756","3,078",159,
Other than Intragovernmental:,,,,,,1
"Accounts Receivable, Net",2,1,2,1,1,
"General Property and Equipment, Net",200,120,320,63,108,171
Advances and Prepayments,13,(1),12,12,(1),11
Total Other than Intragovernmental,215,119,334,76,107,183
Total Assets,"$4,807",283,"$ 5,090","$3,154",266,"3,420"
LIABILITIES,,,,,,
Intragovernmental:,,,,,,10
Accounts Payable Advances from Others and,27,1,$ 27,$ 10,1,
Deferred Revenue,6,1,6,15,1,15
Other Liabilities,27,一,27,26,一,26
Total Intragovernmental Liabilities,60,1,60,51,,51
Other than Intragovernmental:,,,,,1,
Accounts Payable,129,2,131,95,1,96
Federal Employee and Veteran,,,,,,
Benefits Payable,65,1,65,64,1,
Other Liabilities,35,1,35,30,1,190
Total Other than Intragovernmental,229,2,231,189,1,
Total Liabilities,289,2,291,240,1,241
NET POSITION,,,,,,
Unexpended Appropriations,1,1,1,1,1,
Cumulative Results of Operations,"4,518",281,"4,799","2,913",265,"3,178"
Total Liabilities and Net Position,"$ 4,807",283,"$5,090","$3,154",266,"$ 3,420"
"Statements of Net Cost for the Year Ended September 30,",,,,,,
Gross Program Costs,"$4,167",,,"$ 2,996",101,$
Less: Earned Revenues,"5,530",64,"4,231","4,361",,
Net Program Costs,"(1,363)",1,"5,531",,,"(1,265)"
Net Cost of Operations,,63,"(1,300)","(1,365)",100,$
,"$ (1,63)",63,"$(1,300)","$(1,365)",100,"(1,265)"
"Statements of Changes in Net Position for the Year Ended September 30,",,,,,,
Unexpended Appropriations,,,,,,
Beginning Balances,1,,1,$ 2,,
,,,$,,,$
,(1),$,,,,
Appropriations Used,,,(1),(1),,
2023 Total,2023 Total,2023 Total,2023 Total,2022 Total,2022 Total,2022 Total
,Consular and Border Funds from,Other,Funds from Dedicated,Consular,Other and Border Funds from,Funds from Dedicated
,Security,Dedicated,Collections,Security,Dedicated,Collections
,Programs,,Collections (Consolidated),Programs,,Collections (Consolidated)
Cumulative Results of Operations,,,,,,
Beginning Balances,"$ 2,913",$ 265,"$3,178","$ 1,404",$ 288,"$ 1,692"
Appropriations Used,1,一,1,1,1,1
Donations and Forfeitures of Cash & Property,,34,34,,17,
Transfers In(Out) Without,一,,,1,,17
Reimbursement,148,45,193,82,60,142
Imputed Financing,93,一,93,61,1,61
Net Cost of Operations,"1,363",(63),"1,300","1,365",(100),
,,,,,,"1,265"
Net Change in Cumulative Results,,,,,,
of Operations,"1,605",16,"1,621","1,509",(23),"1,486"
Total Cumulative Results of Operations,"4,518",281,"4,799","2,913",265,"3,178"
"Net Position, End of Period","$4,518",$ 281,"$ 4,799","$ 2,914",$ 265,"$ 3,179"
