Financial Statement Line,Amounts,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Total,Reclassified Financial Statement Line
Unexpended Appropriations - Beginning Balances,"$46,992",1,"$ 46,991",,"$46,992",Unexpended Appropriations - Beginning Balance
Budgetary Financing Sources,,,,,,
Appropriations Received,"36,194",,"36,194",,"36,194",Appropriations Received
Other Adjustments,(296),,(296),,(296),
Appropriations Transferred In(Out),"3,025",,"3,116",,"3,116",Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources
,,,(91),,(91),Non-Expenditure Transfer-Out of Unexpended Appropriations and Financing Sources
Appropriations Used,"(36,199)",(1),"(36,198)",,"(36,199)",Appropriations Used
Total Unexpended Appropriations,"49,716",,"49,716",,"49,716",Total Unexpended Appropriations
Cumulative Results of Operations - Beginning Balances,"$28,236","$ 3,178","$ 25,058",,"$28,236",Cumulative Results of Operations - Beginning
Other Adjustments,(25),,(25),,(25),Revenue and Other Financing Sources - Cancellations
Appropriations Used,"36,199",1,"36,198",,"36,199",Appropriations Expended
Donations and Forfeitures of Cash and Cash Equivalents,21,,,,21,Other Taxes and Receipts (Non-Federal)
Donations and Forfeitures of Property,33,13,20,,33,
Transfers In(Out) Without Reimbursement,158,43,(43),,,Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources
,,,(6),,(6),Non-Expenditure Transfer-Out of Unexpended Appropriations and Financing Sources
,,91,,,91,
,,49,,,49,Appropriation of Unavailable Special or Trust Fund Receipts Transfers-In
,,(4),,,(4),Appropriation of Unavailable Special or Trust Fund Receipts Transfers-Out
,,111,23,,134,Transfers-In Without Reimbursement
,,(6),,,(15),Transfers-Out Without Reimbursement
Imputed Financing,274,93,230,(49),274,Imputed Financing Sources
Non-Entity Collections,(355),,(355),,(355),Non-Entity Custodial Collections Transferred to the General Fund
Net Cost of Operations,"(35,478)","1,300","(36,827)",49,"(35,478)",Net Cost of Operations
Total Cumulative Results of Operations,"29,063","4,799","24,264",,"29,063",Total Cumulative Results of Operations
Net Position,"$78,779","$ 4,799","$ 73,980",,"$78,779",Total Net Position
