CONSOLIDATED STATEMENTS OF NET COST (Note 14) (dollars in millions),CONSOLIDATED STATEMENTS OF NET COST (Note 14) (dollars in millions),CONSOLIDATED STATEMENTS OF NET COST (Note 14) (dollars in millions)
"For the Year Ended September 30,",2023,2022
SG1: Renew U.S. leadership and mobilize coalitions to address the global challenges that have the greatest impact on Americans' security and wel-being.,,
Gross Costs Earned Revenue,"$ 22,210 (723)","$ 23,101 （703)"
Net Program Costs,"21,487","22,398"
SG2: Promote global prosperity and shape an international environment in which the United States can thrive.,,
Gross Costs,"2,373","2,165"
Earned Revenue,(382),(362)
Net Program Costs,"1,991","1,803"
"SG3: Strengthen democratic institutions, uphold universal values, and promote human dignity.",,
Gross Costs,"3,608","3,444"
Earned Revenue,(388),(363)
Net Program Costs,"3,220","3,081"
SG4: Revitalize the diplomatic and development workforce and institutions. Gross Costs,,
Earned Revenue,"11,666 (2,551)","10,257 (2,544)"
Net Program Costs,"9,115","7,713"
SG5: Serve U.S. Citizens around the world and facilitate secure international travel.,,
Gross Costs,"5,799","4,731"
Earned Revenue,"(5,924)","(4,705)"
Net Program Revenue/Costs,(125),26
Net Program Costs Before Assumption Changes,"35,688","35,021"
Actuarial Gain/Loss on Pension Assumption Changes (Notes 1 and 9),(233),"3,364"
Net Program Costs Including Assumption Changes,"35,455","38,385"
Cost Not Assigned to Programs,,
Gross Costs,25,24
Earned Revenue,(2),(1
Net Costs,23,23
Total Gross Costs,"45,448","47,086"
Total Earned Revenue,"(9,970)","(8,678)"
Net Cost of Operations,"$ 35,478","s 38,408"
