Summary Consolidated Balance Sheets Data,2023,2022,Change,% Change
Fund Balance with Treasury,$68.4,$63.8,$4.6,7%
"Investments, Net",21.6,21.2,0.4,2%
"General Property and Equipment, Net",30.1,28.5,1.6,6%
"Cash,Advances, Receivables,and Other Assets",2.3,2.5,(0.2),(8)%
Total Assets,$122.4,$116.0,$6.4,6%
Accounts Payable,$2.7,$2.6,$ 0.1,4%
Federal Employee and Veteran Benefits Liability,35.8,33.8,2.0,6%
International Organizations Liability,3.5,2.8,0.7,25%
Other Liabilities,1.6,1.6,二,二
Total Liabilities,$43.6,$40.8,$2.8,7%
Unexpended Appropriations,49.7,$ 47.0,2.7,6%
Cumulative Results of Operations,29.1,28.2,0.9,3%
Total Net Position,$78.8,$75.2,$3.6,5%
Total Liabilities and Net Position,$122.4,$116.0,$6.4,6%
Summary Consolidated Statements of Net Cost Data,Summary Consolidated Statements of Net Cost Data,Summary Consolidated Statements of Net Cost Data,Summary Consolidated Statements of Net Cost Data,Summary Consolidated Statements of Net Cost Data
Total Gross Costs,$45.5,$47.1,$ (1.6),(3)%
Total Earned Revenue,10.0,8.7,1.3,15%
Total Net Cost of Operations,$35.5,$38.4,$ (2.9),(8)%
Summary Combined Statements of Budgetary Resources Data,Summary Combined Statements of Budgetary Resources Data,Summary Combined Statements of Budgetary Resources Data,Summary Combined Statements of Budgetary Resources Data,Summary Combined Statements of Budgetary Resources Data
"Unobligated Balance from Prior Year Budget Authority, Net",$34.1,$31.6,$ 2.5,8%
Appropriations,42.2,43.7,(1.5),(3)%
Spending Authority from Offsetting Collections,8.2,7.8,0.4,5%
Total Budgetary Resources,$84.5,$83.1,$1.4,2%
