in NetPosition (dollars in millions),in NetPosition (dollars in millions),of Changes in Net Position (dollars in millions),of Changes in Net Position (dollars in millions),of Changes in Net Position (dollars in millions),of Changes in Net Position (dollars in millions),of Changes in Net Position (dollars in millions)
,,Dedicated,All Other Amounts,Eliminations Between,,
Financial Statement Line Amounts,Financial Statement Line Amounts,Collections Combined,(with Eliminations),Dedicated and All Other,Total,Reclassified Financial Statement Line
Unexpended Appropriations - Beginning Balances,Unexpended Appropriations - Beginning Balances,"$46,992 $ 1","$46,991",S,"$46,992",Unexpended Appropriations- Beginning Balance
Budgetary Financing Sources,Budgetary Financing Sources,,,,,
"Appropriations Received 36,194","Appropriations Received 36,194",,"36,194",,"36,194",Appropriations Received
Other Adjustments,Other Adjustments,(296),(296),,(296),
"Appropriations Transferred In(Out) 3,025","Appropriations Transferred In(Out) 3,025",,,,,Non-Expenditure Transfers-In of
,,,"3,116",,"3,116",Unexpended Appropriations and Financing Sources
,,,,,,Non-Expenditure Transfer-Out of
,,,(91),,(91),Unexpended Appropriations and Financing Sources
"Appropriations Used (36,199)","Appropriations Used (36,199)",(1),"(36,198)",,"(36,199)",Appropriations Used
Total Unexpended Appropriations,Total Unexpended Appropriations,"49,716 一","49,716",,"49,716",Total Unexpended Appropriations
"Cumulative Results of Operations - Beginning Balances $28,236","Cumulative Results of Operations - Beginning Balances $28,236","$3,178","$ 25,058",,,Cumulative Results of
,,,,S,"$28,236",Operations- Beginning Revenue and Other Financing
Other Adjustments Appropriations Used,Other Adjustments Appropriations Used,"(25) 36,199 1","(25) 36,198",,"(25) 36,199",Sources-Cancellations
Donations and Forfeitures of,Donations and Forfeitures of,,,,,Appropriations Expended Other Taxes and Receipts
Cash and Cash Equivalents,Cash and Cash Equivalents,21,,,21,(Non-Federal)
Donations and Forfeitures of Property 33,Donations and Forfeitures of Property 33,13,20,,33,
Transfers In(Out) Without Reimbursement 158,Transfers In(Out) Without Reimbursement 158,43,(43),,,Non-Expenditure Transfers-In of Unexpended Appropriations and
,,,,,,Financing Sources Non-Expenditure Transfers-Out of
,,,(6),,(6),Unexpended Appropriations and Financing Sources
,,49,,,49,Appropriation of Unavailable Special or Trust Fund Receipts Transfers-In
,,(4),,,(4),Appropriation of Unavailable Special or Trust Fund Receipts Transfers-Out
,,,,,,Transfers-In Without
,,111,23 （9),,134,Reimbursement Transfers-Out Without
,,(6),,,(15),Reimbursement
Imputed Financing 274,Imputed Financing 274,93,230,(49),274,Imputed Financing Sources
Non-Entity Collections,Non-Entity Collections,(355) 1,(355),1,(355),Non-Entity Custodial Collections Transferred to the General Fund
Net Cost of Operations,Net Cost of Operations,"(35,478) 1,300","(36,827)",49,"(35,478)",Net Cost of Operations
Total Cumulative Results,Total Cumulative Results,,,,,Total Cumulative Results
of Operations,of Operations,"29,063 4,799","24,264",,"29,063",of Operations
Net Position,Net Position,"$78,779 $4,799","$73,980",$,"$78,779",Total Net Position
