"For the Year Ended September 30,",2023,2022
Foreign Service Officers,,
Foreign Service Retirement and Disability Fund,Foreign Service Retirement and Disability Fund,Foreign Service Retirement and Disability Fund
Foreign Service Nationals,Defined Contribution Fund,357
,Defined Benefit Plans,/
,Lump Sum Retirement and Voluntary Severance,685
Total Foreign Service Nationals,,
Total Actuarial Liabilities for Pension and Retirement Plans Administered by the Department,Total Actuarial Liabilities for Pension and Retirement Plans Administered by the Department,Total Actuarial Liabilities for Pension and Retirement Plans Administered by the Department
Other Actuarial and Employee Benefits Payable,Employer Contributions and Payroll Taxes Payable,"35,32"
,Pension Benefits Due and Payable to Beneficiaries,77
,Unfunded Leave,77
,Other Unfunded Employment Related Liability,528
,Actuarial FECA Liability,
Total Other Actuarial and Employee Benefits Payable,,
Total Federal Employee and Veteran Benefits Payable,Total Federal Employee and Veteran Benefits Payable,"35,841"
