Budgetary Resources,Diplomatic Programs,Consular and Border Security Programs,Global Health Programs,Migration and Refugee Assistance,International Programs and Operations,Total
"Unobligated Balance Brought Forward, October 1",$,4,,$,14,
Recoveries of Prior Year Unpaid/Paid Obligations,,7,,,1,
Total Budgetary Resources,$,11,,$,15,
Status of Budgetary Resources,,,,,,
"New Obligations, New Obligations (""Upward Adjustments"")",,1,,,$ 14,
Expired Accounts,,1,,,1,
"Unobligated, Unexpired Accounts",,1,,,1,
"Unobligated, Expired Accounts",,10,,,1,
Total Budgetary Resources,$,11,,$,15,
"Outlays, Net",,,,,,
"Agency Outlays, Net",$,61,,$,33,
Net Cost,,,,,,
Total Net Cost,$,50,,$,24,
