"For the Years Ended September 30, (dollars in millions)",2023 2022,2023 2022,2023 2022,2023 2022
"For the Years Ended September 30, (dollars in millions)",Intra- governmental,With the Public,Total,Total
Net Cost $,,"$35,787","$35,478","$38,408"
,(309) 1,254,254,193
Passport Fees Collection that are not Part of Net Outlays,,,,
Components of Net Cost that are not Part of Net Outlays: Property and Equipment Depreciation,一,"(1,312)","(1,312)","(1,229)"
Property and Equipment Gain(Loss) on Disposal &,,(5),(5),(95)
Revaluation,,,,
Applied Overhead/Cost Capitalization Offset,,"2,805","2,805","2,491"
"Increase/(Decrease) in Assets: Accounts Receivable, Net",,,,
,(11),(1),(12),7
"Direct Loans and Loan Guarantees Receivable, Net",1,1,1,(2)
Securities and Investments,25,1,25,13
Other Assets,(96),(64),(160),(638)
(Increase)/Decrease in Liabilities:,,,,
Accounts Payable,7,(220),(213),361
Loans Guarantee Liability/Loans Payable,(2),1,(2),1
Environmental and Disposal Liabilities,1,1,1,(1)
Federal Employee and Veteran Benefits Payable,1,"(2,025)","(2,025)","(4,593)"
Other Liabilities,(16),(828),(844),
Financing Sources:,,,,(742)
Imputed Cost,(274),1,(274),(203)
Total Components of Net Cost that are not Part of Net,(367),"(1,650)","(2,017)","(4,630)"
Outlays Financing Sources:,,,,
Donated Revenue,1,(21),(21),
Transfers Out(In) Without Reimbursements,7,1,7,(17) 41
Total Components of the Budget Outlays that are not Part,7,(21),(14),24
of Net Operating Cost Miscellaneous Items,,,,
Distributed Offsetting Receipts,1,"(6,166)","(6,166)",
Custodial/Non-Exchange Revenue,(6),(20),(26),"(5,204) 1"
Other Temporary Timing Differences,1,1,1,
Appropriated Receipts for Trust/Special Funds,1,"7,122","7,122",1
Total Other Reconciling Items,(6),936,930,"6,103 900"
Total Net Outlays,$ (675),"$ 35,306","$34,631","$34,895"
