ADA,Antideficiency Act,CIPA,Contributions for International Peacekeeping Activities
ADP,Automated Data Processing,CMMI,Capability Maturity Model Integration
AF,Bureau of African Affairs,COAST,Consolidated Overseas Accountability Support Toolbox
AFR,Agency Financial Report,COM,Chief of Mission
AI,Artificial Intelligence,COTS,Commercial Off-the-Shelf
AIDS,Acquired Immunodeficiency Syndrome,COVID-19,Coronavirus Disease 2019
A/OPe,Office of the Procurement Executive,CS&R,"Climate, Security, and Resilience"
APG,Agency Priority Goal,CSM,Consular Systems Modernization
APP,Annual Performance Plan,CSRS,Civil Service Retirement System
AQM,Office of Acquisitions Management,D,Deputy Secretary of State
ASEAN,Association of Southeast Asian Nations,DATA Act,Digital Accountability and Transparency Act
APR,Annual Performance Report,DBR,Demographic Baseline Report
Appendix A,"OMB Circular A-123, Appendix A",DCCP,Digital Connectivity and Cybersecurity Partnership
BCDO,Bureau Chief Data Officer,DCP,Defined Contribution Plan
BI,Business Intelligence,DEIA,"Diversity, Equity, Inclusion, and Accessibility"
BSM,Budget System Modernization,Department,U.S. Department of State
CA,Bureau of Consular Affairs,D-MR,Deputy Secretary of State for Management and Resources
CARP,Climate Adaptation and Resilience Plan,DM&R,Deferred Maintenance and Repairs
CBSP,Consular and Border Security Programs,DoD,U.S. Department of Defense
CDP,Bureau of Cyberspace and Digital Policy,DOL,U.S. Department of Labor
CEAR,Certificate of Excellence in Accountability Reporting,DS,Bureau of Diplomatic Security
CfA,Center for Analytics,EDS,Enterprise Data Strategy
CFO,Chief Financial Officer,EGB,Enterprise Governance Board
CFR,Code of Federal Regulations,ESCM,"Embassy Security, Construction, and Maintenance"
CGFS,Bureau of the Comptroller and Global Financial Services,EWC,East-West Center
CHIPS,Creating Helpful Incentives to Produce Semiconductors Act of 2022,FAM,Foreign Affairs Manual
CIO,Contributions to International Organizations,FAP,Furniture and Appliance Program
