"For the Year Ended September 30,",2023,2022
Foreign Service Officers,,
Foreign Service Retirement and,,
Disability Fund Foreign Service Nationals,"$33,986 $31,968",
Defined Contribution Fund,357,323
Defined Benefit Plans,/,49
Lump Sum Retirement and,,
Voluntary Severance,685,683
Total Foreign Service Nationals,"1,042","1,055"
Total Actuarial Liabilities for Pension and Retirement Plans Administered,,
by the Department Other Actuarial and Employee,"$35,028 $33,023",
Benefits Payable,,
Employer Contributions and Payroll Taxes Payable,35,32
Pension Benefits Due and Payable,,
to Beneficiaries Unfunded Leave,77,71
Other Unfunded Employment,528,522
Related Liability,69,
Actuarial FECA Liability,,67
,104,100
Total Other Actuarial and Employee,,
Benefits Payable,813,792
Total Federal Employee and Veteran,,
Benefits Payable,"$35,841 $33,815",
