2023 Funds from Dedicated Collections (Consolidated Totals),2023 Funds from Other than Dedicated Collections (Consolidated Totals),2023 Intra-Departmental Eliminations,2023 Consolidated Total,2022 Funds from Dedicated Collections (Consolidated Totals),2022 Funds from Other than Dedicated Collections (Consolidated Totals),2022 Intra-Departmental Eliminations,2022 Consolidated Total
$1,"$46,991",$,"$46,992","$45,969",$,$,$
Appropriations Received,"36,194",,"36,194","38,649",,,
Appropriations Transferred In(Out),"3,025",,"3,025",(72),,,
Other Adjustments,(296),,(296),"(1,059)",,,
Appropriations Used,(1),"(36,198)",,"(36,199)","(36,495)",,","
Net Change in Unexpended Appropriations,(1),"2,725",,"2,724","1,023",,
Total Unexpended Appropriations: Ending,,"$49,716",$,"$49,716","$46,992",$,$
Beginning Balances,"3,178","25,058","28,236","30,135",,,
Adjustments,,,,,(1),,","
"Beginning Balances, as Adjusted","3,178","25,058","28,236","30,134",,,
Other Adjustments,,(25),,(25),(30),,","
Appropriations Used,1,"36,198",,"36,199","36,495",,","
Donations and Forfeitures of Cash and Cash Equivalents,21,,21,17,,,
Transfers In(Out) Without Reimbursement,193,(35),,158,18,,
Donations and Forfeitures of Property,13,20,,33,,,
Imputed Financing,93,230,(49),274,203,,
Non-Entity Collections,,(355),,(355),(193),,","
Net Cost of Operations,"1,300","(36,827)",49,"(35,478)","(38,408)",,
Net Change in Cumulative Results of Operations,"1,621",(794),,827,"(1,898)",,
Total Cumulative Results of Operations: Ending,"4,799","24,264",,"29,063","28,236",,
Net Position,"$4,799","$73,980",$,"$78,779","$75,228",$,$
