Net Cost,Intra-governmental,With the Public,Total,Total,Total,Total
$,$,$,$,$,$,$
Net Cost,(309),"35,787","35,478","38,408","38,408","38,408"
Passport Fees Collection that are not Part of Net Outlays,,254,254,193,193,193
Components of Net Cost that are not Part of Net Outlays:,,"(1,312)","(1,312)","(1,229)","(1,229)","(1,229)"
Property and Equipment Depreciation,,"(1,312)","(1,312)","(1,229)","(1,229)","(1,229)"
Property and Equipment Gain(Loss) on Disposal &,,(5),(5),(95),(95),(95)
Revaluation,,,,,,
Applied Overhead/Cost Capitalization Offset,,"2,805","2,805","2,491","2,491","2,491"
Increase/(Decrease) in Assets:,,,,,,
"Accounts Receivable, Net",(11),(1),(12),7,7,7
"Direct Loans and Loan Guarantees Receivable, Net",,,,(2),(2),(2)
Securities and Investments,25,,25,13,13,13
Other Assets,(96),(64),(160),(638),(638),(638)
(Increase)/Decrease in Liabilities:,,,,,,
Accounts Payable,7,(220),(213),361,361,361
Loans Guarantee Liability/Loans Payable,(2),,(2),1,1,1
Environmental and Disposal Liabilities,,,,(1),(1),(1)
Federal Employee and Veteran Benefits Payable,,"(2,025)","(2,025)","(4,593)","(4,593)","(4,593)"
Other Liabilities,(16),(828),(844),(742),(742),(742)
Financing Sources:,,,,,,
Imputed Cost,(274),,(274),(203),(203),(203)
Total Components of Net Cost that are not Part of Net Outlays,(367),"(1,650)","(2,017)","(4,630)","(4,630)","(4,630)"
Financing Sources:,,,,,,
Donated Revenue,,(21),(21),17,17,17
Transfers Out(In) Without Reimbursements,7,,7,41,41,41
Total Components of the Budget Outlays that are not Part of Net Operating Cost,7,(21),(14),24,24,24
Misellaneous Items,,,,,,
Distributed Offsetting Receipts,,"(6,166)","(6,166)","(5,204)","(5,204)","(5,204)"
Custodial/Non-Exchange Revenue,(6),20,26,,,
Other Temporary Timing Differences,,,,1,1,1
Appropriated Receipts for Trust/Special Funds,,"7,122","7,122","6,103","6,103","6,103"
Total Other Reconciling Items,(6),936,930,900,900,900
Total Net Outlays,$,(675),"35,306","34,631","34,895","34,895"
