NADR,"Nonproliferation, Antiterrorism, Demining, and Related"
NATO,North Atlantic Treaty Organization
NRP,Narcotics Rewards Program*
OAS,Organization of American States
OBO,Bureau of Overseas Buildings Operations*
ODI,Office of Diversity and Inclusion*
OECD,Organization for Economic Cooperation and Development
OIG,Office of Inspector General*
OMB,U.S. Office of Management and Budget
OPM,U.S. Office of Personnel Management
OSCE,Organization for Security and Co-operation in Europe
PBO,Projected Benefit Obligation
PDP,Post Data Program*
PEPFAR,President's Emergency Plan for AIDS Relief
PIIA,Payment Integrity Information Act of 2019
PM,Bureau of Political-Military Affairs*
PMS,Payment Management System (HHS)
PPA,Prompt Payment Act
PRC,People's Republic of China
RFJ,Rewards for Justice*
RFMS,Regional Financial Management System*
RFMS/C,Regional Financial Management System/Cashiering*
RFMS/D,Regional Financial Management System/Disbursing*
RFMS/M,Regional Financial Management System/Momentum*
RSI,Required Supplementary Information
SAMS,State Assistance Management System*
