Budgetary Resources,Programs,Programs,Consular and Diplomatic Border Security Programs,Consular and Diplomatic Border Security Programs,Global Health Programs,Global Health Programs,Migration Assistance,Migration Assistance,International and Refugee Programs and Operations,International and Refugee Programs and Operations,Total,Total
"Unobligated Balance Brought Forward, October 1",$,79,$,2,$,14,$,53,$,580,$,728
Recoveries of Prior Year Unpaid/Paid Obligations,,24,,1,,1,,1,,1,,25
Total Budgetary Resources,$,103,$,,2$,15,$,53,$,580,$,753
Status of Budgetary Resources,,,,,,,,,,,,
New Obligations,$,99,$,2,$,1,$,53,$,580,$,735
"Unobligated, Unexpired Accounts Total Budgetary Resources",$,4 103,$,1,2$,14 15,,1,,1,,18 753
,,,,,,,,,53$,580,$,
"Outlays, Net Agency Outlays, Net",,,$,,2$,26$,,157,,579,,$909
,$145,,,,,,,,,,,
Net Cost Total Net Cost,,$111,$,,,,,2$20$184$,,580,,$897
