,,Amortized,Amortized,Amortized,Amortized,Amortized,Amortized,Amortized
"As of September 30, 2022:",Cost,(Premium) Discount,Interest,,Net Receivable Investments,Market Value,Maturity Dates,Interest Rates Range
"Non-Marketable, Par Value:",,,,,,,,
Special Issue Securities,"$20,681",$ 一,$ 123,$,"20,804","$20,681",,2023-2028 0.750%－4.000%
Subtotal,"20,681",,123,,"20,804","20,681",,
"Non-Marketable,Market Based:",,,,,,,,
Israeli Arab Scholarship,,,,,,,,
Programs,5,,,,5,5,,2023- 2025 0.375%-2.625%
Eisenhower Exchange Fellowship Fund,4,,,,4,4,2022,0.000%
Middle Eastern-Western,,,,,,,,
Dialogue Fund,10,,,一,10,9,,2023- 2027 0.250%-2.625%
"Gift Funds,Treasury Bills",24,1,,1,24,23,,2022- 2027 1.625%-2.750%
International Center,12,一,,1,12,12,2023,0.000%
Foreign Service National,,,,,,,,
Defined Contributions Fund,335,(16),,2,321,273,,2023- 2043 0.500%- 2.875%
Subtotal,390,(16),,2,376,326,,
Total Intragovernmental,,,(16) 125,,"$21,007",,,
