,2023,2023,2023,2022,2022,2022,2022,2022
,Total Prior to,Intra- Departmental,Intra- Departmental,,Total Prior to,Intra- Departmental,,
Earned Revenues,Eliminations,Eliminations,,Total,Eliminations,,Eliminations,Total
Consular Fees:,,,,,,,,
"Passport, Visa and Other",,,,,,,,
Consular Fees,$ 744,$,1,$744,$ 616,$,1,$ 616
Machine Readable Visa,"2,268",,1,"2,268","1,666",,1,"1,666"
Expedited Passport,480,,1,480,425,,1,425
"Passport, Visa and Other Surcharges","2,225",,1,"2,225","1,872",,1,"1,872"
"Fingerprint Processing, Diversity Lottery,and Affidavit of Support",66,,1,66,,,,
Subtotal-Consular Fees,"5,783",,1,"5,783","57 4,636",,二,"57 4,636"
FSRDF,"1,541",,892,,,,1,
ICASS,"3,561",,"2,558","649 1,003","1,411",,838,573 981
Other Reimbursable Agreements,"2,869",,612,"2,257","3,479 2,782",,"2,498 541","2,241"
Working Capital Fund,"1,608",,"1,380",228,"1,392",,"1,189",203
Other,118,,68,50,113,,69,
Total,"$15,480",$,"5,510","$9,970","$13,813",$,"5,135","44 $8,678"
