ADA,Antideficiency Act,CIPA,Contributions for International
ADP,Automated Data Processing,,Peacekeeping Activities
AF,Bureau of African Affairs*,CMMI,Capability Maturity Model Integration
AFR,Agency Financial Report,COAST,Consolidated Overseas Accountability
Al,Artificial Intelligence,,Support Toolbox*
AIDS,Acquired Immunodeficiency Syndrome,COM,Chief of Mission*
A/OPE,Office of the Procurement Executive*,COTS,Commercial Off-the-Shelf
APG,Agency Priority Goal,COVID-19,Coronavirus Disease 2019
APP,Annual Performance Plan,CS&R,"Climate, Security, and Resilience"
AQM,Office of Acquisitions Management*,CSM,Consular Systems Modernization*
ASEAN,Association of Southeast,CSRS,Civil Service Retirement System
,Asian Nations,D,Deputy Secretary of State*
APR,Annual Performance Report,DATA Act,Digital Accountability and
,"Appendix A OMB Circular A-123, Appendix A",,Transparency Act
BCDO,Bureau Chief Data Officer*,DBR,Demographic Baseline Report*
BI,Business Intelligence,DCCP,Digital Connectivity and Cybersecurity Partnership*
BSM,Budget System Modernization*,DCP,Defined Contribution Plan
CA,Bureau of Consular Affairs*,DEIA,"Diversity, Equity, Inclusion,"
CARP,Climate Adaptation and Resilience Plan,,and Accessibility
CBSP,Consular and Border,,Department U.S. Department of State*
,Security Programs*,D-MR,Deputy Secretary of State for
CDP,Bureau of Cyberspace and,,Management and Resources*
CDP,Digital Policy*,DM&R,
CEAR,Certificate of Excellence in,DoD,Deferred Maintenance and Repairs
CEAR,Accountability Reporting,,U.S. Department of Defense
CfA,Center for Analytics*,DOL,U.S. Department of Labor
CFO,Chief Financial Officer,DS,Bureau of Diplomatic Security*
CFR,Code of Federal Regulations,EDS,Enterprise Data Strategy*
CGFS,Bureau of the Comptroller and,EGB,Enterprise Governance Board*
,Global Financial Services*,ESCM,"Embassy Security, Construction, and Maintenance*"
CHIPS,Creating Helpful Incentives to,,
CHIPS,Produce Semiconductors Act of 2022,EWC,East-West Center
CIo,Contributions to,FAM,Foreign Affairs Manual
,International Organizations,FAP,Furniture and Appliance Program*
FASAB,Federal Accounting Standards Advisory Board,GHSD,Bureau of Global Health Security and Diplomacy*
FBWT,Fund Balance with Treasury,GPRA,Government Performance and
FCI,Facility Condition Index,,Results Act of 1993
FECA,Federal Employees' Compensation Act,GSA,U.S.General Services Administration
FEGLIP,Federal Employees' Group Life,GTAS,Government-wide Treasury Account Symbol Adjusted Trial Balance System
FEHBP,Insurance Program Federal Employees Health,GTM,Bureau of Global Talent Management*
FEHBP,Benefits Program,HHS,U.S. Department of Health and
FERS,Federal Employees Retirement System,,Human Services
FFMIA,Federal Financial Management,HIV,Human Immunodeficiency Virus
FISMA,Improvement Act of 1996,HR,Human Resources
FISMA,Federal Information Security,IAS,International Accounting Standards
FMFIA,Modernization Act of 2014 Federal Managers' Financial Integrity,IBIS,Integrated Budget Intelligence System*
,Act of 1982,IBWC,International Boundary and
,Federal Register,,Water Commission
FR FR,Financial Report of the,ICAO,International Civil Aviation
,U.S.Government,,Organization (UN)
FSI,Foreign Service Institute*,ICASS,International Cooperative
FSN,Foreign Service National,,Administrative Support Services*
FSN DCF,Foreign Service National Defined,ICS,Integrated Country Strategy* Integrated Logistics Management
FSRDF,Contributions Fund Foreign Service Retirement and,ILMS,System*
,Disability Fund,INL,Bureau of International Narcotics and Law Enforcement Affairs*
FSRDS,Foreign Service Retirement and Disability System,10,Bureau of International Organizations* International Operations and Programs
FSPS,Foreign Service Pension System,I0&P IPIA,Improper Payments Information Act
FWCB,Federal Workers' Compensation Benefits,,of 2002
FY,Fiscal Year,IRM,Bureau of Information Resource
,G-Invoicing Government-lnvoicing,,Management*
GAAP,Generally Accepted,ISP,Inspection*
,Accounting Principles,I,Information Technology
GAAS,Generally Accepted Auditing Standards,JSP,Joint Strategic Plan
GAO,U.S. Government Accountability Office,LE Staff,Locally Employed Staff*
GEL-ICS,Global Emerging Leaders in,LSSS,Local Social Security System
,International Cyberspace,M,Under Secretary for Management*
,Security Fellowship*,,
GFMS,Global Financial Management System*,MCSC,Management Control Steering Committee*
