STRATEGIC GOAL,Arms Control,Int'l Security,Management-Consular Affairs,Civilian Security,Democracy and Human Rights,Economic Growth,Energy and Environment,Political Affairs,Public Diplomacy and Public Affairs,Intra-Departmental Eliminations,Total
SG1: Renew U.S. leadership and mobilize coalitions to address the global challenges that have the greatest impact on Americans' security and well-being.,$1,637,$38,$12,026,$25,$9,243,$460,$(1,"219),$22,210"
SG1: Renew U.S. leadership and mobilize coalitions to address the global challenges that have the greatest impact on Americans' security and well-being.,Earned Revenue,$(456),-,$(299),-,$(1,057),$(34),1,123,$(723)
SG1: Renew U.S. leadership and mobilize coalitions to address the global challenges that have the greatest impact on Americans' security and well-being.,Net Program Costs,1,181,38,11,727,25,8,186,426,"$(96),21,487"
SG2: Promote global prosperity and shape an international environment in which the United States can thrive.,Gross Costs,13,14,13,118,2,600,376,$(761),2,373
SG2: Promote global prosperity and shape an international environment in which the United States can thrive.,Earned Revenue,$(3),$(2),$(33),-,$(1,002),$(54),712,$(382),
SG2: Promote global prosperity and shape an international environment in which the United States can thrive.,Net Program Costs,10,12,$(20),118,1,598,322,$(49),1,991
SG3: Strengthen democratic institutions, uphold universal values, and promote human dignity.,Gross Costs,11,12,1,830,10,2,117,"413,$(785),3,608"
SG3: Strengthen democratic institutions, uphold universal values, and promote human dignity.,Earned Revenue,$(3),-,$(205),-,$(841),$(72),733,$(388)
SG3: Strengthen democratic institutions, uphold universal values, and promote human dignity.,Net Program Costs,8,12,1,625,10,1,276,"341,$(52),3,220"
SG4: Revitalize the diplomatic and development workforce and institutions.,Gross Costs,472,822,268,193,10,352,2,568,$(3,"009),11,666"
SG4: Revitalize the diplomatic and development workforce and institutions.,Earned Revenue,$(547),$(645),$(156),-,$(3,949),$(95),2,841,"$(2,551)"
SG4: Revitalize the diplomatic and development workforce and institutions.,Net Program Costs,$(75),177,112,193,6,403,2,473,$(168),"9,115"
SG5: Serve U.S. Citizens around the world and facilitate secure international travel.,Gross Costs,15,5,778,3,1,179,2,$(179),5,799
SG5: Serve U.S. Citizens around the world and facilitate secure international travel.,Earned Revenue,$(10),$(6,005),-,-,$(10),-,101,$(5,924)
SG5: Serve U.S. Citizens around the world and facilitate secure international travel.,Net Program Revenue,5,$(227),3,1,169,2,$(78),$(125),,
Net Program Costs Before Assumption Changes,1,129,12,13,447,347,17,632,3,564,"$(443),35,688"
Actuarial Gain on Pension Assumption Changes,$(8),$(13),$(9),$(3),$(161),$(39),-,$(233),,,
Net Program Costs Including Assumption Changes,1,121,$(1),13,438,344,17,471,3,525,"$(443),35,455"
Cost Not Assigned to Programs,Gross Costs,-,-,11,-,14,-,-,25,,
Cost Not Assigned to Programs,Earned Revenue,-,-,$(2),-,-,-,2,,,
Cost Not Assigned to Programs,Net Costs,-,-,9,-,14,-,-,23,,
Total Gross Costs,2,140,6,651,14,142,344,24,344,3,"780,$(5,953),45,448"
Total Earned Revenue,$(1,019),$(6,652),$(695),-,$(6,859),$(255),5,"510,$(9,970)"
Net Cost of Operations,$1,121,$,$1,447,$344,$17,485,$3,525,"$(443),$35,478"
