Budgetary Resources,Programs,,Consular and Diplomatic Border Security Programs,,Global Health Programs,,and Refugee Programs and Assistance,,MigrationInternational Operations,Total
"Unobligated Balance Brought Forward, October 1",$,4,$,,14,$,,$,,18
Recoveries of Prior Year Unpaid/Paid Obligations,,7,,一,,1,,,一,8
Total Budgetary Resources,$,11,$,一,15,$,一,$,$ 一,26
Status of Budgetary Resources,,,,,,,,,,
"New Obligations Obligations (""Upward Adjustments""),",$,1,$,,,14 $,1,$,$,14
Expired Accounts,,1,,一,1,,,,,1
"Unobligated, Unexpired Accounts",,1,,,1,,,,,1
"Unobligated, Expired Accounts Total Budgetary Resources",,10,,一,1,,,,,10
,$,11,$,1,,,二,$,二 $,26
"Outlays, Net",,,,,,,,,,
"Agency Outlays, Net",$,61,$,一,33,,10,,1,$105
Net Cost,,,,,,,,,,
Total Net Cost,$,50,$,,$,1,24,$,,74
