"For the Year Ended September 30,",2023,2022
"Pension Actuarial Liability,","$31,968","$ 27,382"
Beginning of Year,,
Pension Expense:,,
Normal Cost,985,752
Interest on Pension Liability,907,781
Actuarial (Gains) or Losses:,,
From Experience,"1,498",860
From Assumption Changes,,
Interest Rate,(368),343
Other,144,"3,013"
Change in Valuation System,—,(96)
Total Pension Expense,"3,166","5,653"
Less: Payments to Beneficiaries,"1,148","1,067"
"Pension Actuarial Liability,","33,986","31,968"
End of Year,,
Less: Net Assets Available,for Benefits,"21,129,20,740"
Actuarial Pension Liability –,"$12,857","$ 11,228"
Unfunded,,
Actuarial Assumptions:,,
2023,2022,
Rate of Return on Investments,2.87%,2.80%
Rate of Inflation,2.67%,2.61%
Salary Increase,2.92%,2.86%
