Budgetary Resources,Diplomatic Programs,Consular and Border Security Programs,Global Health Programs,Migration and Refugee Assistance,International Programs and Operations,Total
"Unobligated Balance Brought Forward, October 1",$ 79,$ 2,$ 14,$ 53,"$ 580,$ 728",
Recoveries of Prior Year Unpaid/Paid Obligations,24,,1,,,25
Total Budgetary Resources,$ 103,$ 2,$ 15,$ 53,$ 580,$ 753
Status of Budgetary Resources,,,,,,
New Obligations,$ 99,$ 2,$ 1,$ 53,$ 580,$ 735
"Unobligated, Unexpired Accounts",4,-,14,-,"-,18",
Total Budgetary Resources,$ 103,$ 2,$ 15,$ 53,$ 580,$ 753
"Outlays, Net",,,,,,
"Agency Outlays, Net",$ 145,$ 2,$ 26,$ 157,"$ 579,$ 909",
Net Cost,,,,,,
Total Net Cost,$ 111,$ 2,$ 20,$ 184,$ 580,$ 897
