Other Liabilities,2023,2022,
Intragovernmental,,,
Custodial and Other Non-Entity Assets Liability,$ 19,$,15
Debt,5,,3
Unfunded FECA Liability,20,,20
Other Liabilities,34,,30
Total Intragovernmental,78,,68
Other than Intragovernmental,,,
Capital Lease Liability,44,,42
Accrued Funded Payroll and Leave,258,,236
Withholdings Payable,22,,20
Contingent Liability,222,,66
Other Liabilities Without Related Budgetary Obligations,270,,498
Other Liabilities With Related Budgetary Obligations,230,,233
Total Other than Intragovernmental,"1,046",,"1,095"
Total Other Liabilities,"$ 1,124",$,"1,163"
