Chapt.8:TheCellularBasisofReproductionandInheritances,Chapt.8:TheCellularBasisofReproductionandInheritances
C hee,peee
Asexual Reproduction ·,
SexualReproduction,c
BinaryFission,"""yy"
ProkaryoticCell,i
TwoIdentical CellsAriseFromOneCell,cc
Chromosome,p
Duplicates,Lieu
Copy,
Cell Elongates,
PlasmaMembrane,Ls
Eukaryotic,
Cell Cycle,
Mitosis,(u）y
Chromatin,c
Chromatin=DNA+Proteins,+=cc
CompactChromatin=Chromosomes,ees=c
pelTI,pee
Duplicated Chromosomes=Two SisterChromatids,icc=cL↓S
Centromere,i
InterphaseOfTheCellCycle,e
Of TheCellCycle G1,
SPsPhase Of TheCell Cycle=SynthesisOfDNA (Duplication Of Chromosomes),eLE
G1Of TheCell Cycle,2
Mitotic Division,(>U）y
Mitosis=Division Of The Nucleus,=y
Cytokinesis=Division OfCytoplasm,y=
Centrosomes,
Spindle Fibers,
NuclearEnvelope,siiS
Nucleolus,a
SpindleMicrotubule,
Kinetochore,
pel,pee
Metaphase,y
Anaphase,cey
Telophase,u
Cleavage Furrow,
CellPlate,
Microfilaments,be
Growth,E
Onion,山
Roots,J
Meiosis,(y）yy
Crossing Over,
Chromosomes Homologous Pairs,
GeneLocation On Chromosome=Locus,ce
Maternal Chromosomes,ys
Paternal Chromosomes,C
"X,YAutosomes",cse
Gametes,（ux）
T e,pee
1n (Haploid),23s
2n (Diploid),46
Sperm,sec
Egg,
Fertilization,
Zygote,su
Coil,食
Compact,i
Synapsis,心y
Tetrad,=ss
Chapt.9:Patternsof InheritanceLi,Chapt.9:Patternsof InheritanceLi
ee,ee
Pangenesis,ceie
Blending,
HereditaryMaterial,
Breeding,c
Heritable Factors=Genes,=e山e
hpelT,lpeLce
Self-Fertilization,Ecy
Cross-Fertilization,iy
Offspring,=
Monohybrid Cross,sice
ParentalGeneration,
FGeneration,x
FGeneration,
Trait,=
True-Breeding(BBOrBb ButNotBb),c
Phenotype,S
Ratio,
Genotype,
Allele=OneOfTheTwoCopiesOfAGene,Acccce.LecceCcC
Dominant,L
Recessive,
AA OrAa Homozygous,L
AaHeterozygous,
peTI,peCece
A Pedigree,
Deduce,h
Bb Incomplete Dominance,Ew
BbIntermediate Phenotype,ss
AB(Blood Group AB)（Co-Dominance,e）L
RecessiveDisorders(BothAllelesHaveToBeDefective),c.cc.x）cky(c>e
Dominant Disorders,cc）ECc.cky(c
Expression,
Chapt.10 :MolecularBiology of the GenecIcfe,Chapt.10 :MolecularBiology of the GenecIcfe
peTI,pCce
Monomer,Le
Polymer,cE
Nucleotide,长
1,..
peT,peece
DNA(Deoxy Ribonucleic Acid) =Polynucleotide,(CYSSc）E
Double-StrandedHelix,c
Chain,L
BasePairing,
GeneExpression,
"Folding,",山
Coiling,iy
Packing,官
Nucleosomes,y
LinkerDNA,eeyc
DNAReplication,Eeu
SemiconservativeModel,ie
ComplementaryStrand,
Template,山
Sequence,J
Transcription,cu
Translation,L
Chapt.10:MolecularBiologyof theGenectc-Eece,Chapt.10:MolecularBiologyof theGenectc-Eece
peT,pee
RNA(Ribonucleic Acid),
Codon,
Amino Acid,c
Signal,B
Redundancy,E
Unambiguous,
SpacersOr Punctuation,L>
Adjacent,山
Mutation,山
Substitutions,J
Deletions,
Insertion,Ly
Spontaneous,
Induced,
Mutagens,
