Total Contractual,2021,2022-23,2024-25,After 2025
Payment Stream,61718,6956,13015,"10751,30995"
Long-term debt obligations,16538,1526,2691,"2125,10196"
Interest on long-term debt obligations,296,97,137,"37,24"
Finance lease obligations*,5265,1468,2070,"1089,638"
Operating lease obligations*,7315,1846,3502,"1885,82"
Purchase obligations,1500,300,600,"600,752"
Other long-term liabilities:,1833,198,423,"460,752"
Minimum defined benefit plan pension funding (mandated)**,3157,2185,300,"133,539"
Excess 401(k) Plus Plan,4913,368,4913,"368,4913"
Long-term termination benefits+,754,224,159,"109,263"
Tax reserves++,103290,15168,22898,"17189,43490"
