Common Stock and Additional Paid-in Capital,Retained Earnings,Treasury Stock,Accumulated Other Comprehensive Income/(Loss),Total IBM Stockholders' Equity,Non-Controlling Interests,Total Equity
"$55,151","$159,206","$(168,071)","$(29,490)","$16,796",$134,"$16,929"
"Net income plus other comprehensive income/(loss), Net income","9,431",,,"9,431",,"9,431"
Other comprehensive income/(loss),,,,893,,893
Total comprehensive income/(loss),,,,"$10,324",,"$10,324"
Cash dividends paid—common stock ($6.43 per share),"(5,707)",,,"(5,707)",,"(5,707)"
"Common stock issued under employee plans (4,569,917 shares)",745,,,745,,745
"Purchases (2,000,704 shares) and sales (2,041,347 shares) of treasury stock under employee plans—net",30,(11),,19,,19
"Other treasury shares purchased, not retired (9,979,516 shares)",,"(1,331)",,"(1,331)",,"(1,331)"
Changes in other equity,,(5),,(5),,(5)
Changes in noncontrolling interests,,,,,10,10
"Equity, December 31, 2019","$55,895","$162,954","$(169,413)","$(28,597)","$20,841","$20,985"
