For the year ended December 31:,U.S.Plans,U.S.Plans,U.S.Plans,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans,,,
For the year ended December 31:,2020,2019,2018,2020,2019,,2018,2020,2019 2018
Defined benefit pension plans,$167,$(153)$542,,"$1,178",$955,,"$1,284","$1,345","$803 $1,827"
Retention Plan,11,11,17,一,,1,1 11,11,17
Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans,Total defined benefit pension plans
(income)/cost,$178,$(142),$559,"$1,178",$955,"$1,284","$1,355",$813,"$1,843"
IBM 401(k) Plus Plan and non-U.S. plans,$585,$588,$588,$447,$427,$ 412,"$1,032","$1,015","$1,000"
Excess 401(k),27,26,24,1,,二,27,26,24
Total defined contribution plans cost,$612,$613,$612,$447,$427,二 $412,"$1,058","$1,040","$1,024"
Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans,Nonpension postretirement benefit plans
cost Total retirement-related benefits net,$145,$154,$147,$ 58,$ 65,$,51 $203,$219,$198
periodic cost,$934,$624,"$1,319","$1,683","$1,448","$1,747","$2,617","$2,072","2$3,066"
