,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,Gain/(Loss) Recognized in Consolidated Income Statement and Other Comprehensive Income,
,Recognized in OCI,Recognized in OCI,Recognized in OCI,Consolidated,Reclassified from AOCI,Reclassified from AOCI,Reclassified from AOCI,Amounts Excluded from Effectiveness Testing(3),Amounts Excluded from Effectiveness Testing(3),Amounts Excluded from Effectiveness Testing(3)
For the year ended December 31:,2020,2019,2018,Income Statement Line Item,2020,2019,2018,2020,2019,2018
Derivative instruments in cash,,,,,,,,,,
flow hedges,,,,,,,,,,
Interest rate contracts,$,,,$(168) $(35) Cost of financing Interest expense,$(5)$ (13),(3)$ (8）,1 1,$ 1,$-,$- 1
Foreign exchange contracts,(349),(521),(101),Cost of services,23,68,30,,二 1,一
,,,,Cost of sales,2,51,8,,,
,,,,Cost offinancing,(23),,（75),,1,
,,,,,,(86),,,二,
,,,,SG&A expense,0,53,0,,1,
,,,,Other (income),,,,,,
,,,,and expense Interest expense,101 (65),39 (190),(341) (71),,1,
Instruments in net investment,,,,,,,,一,1,一
hedges (4),,,,,,,,,,
Foreign exchange contracts,"(2,127)",(95),686,Cost of financing,,1,1,16,35,33
Total,,,"$(2,477) $(784) $ 549",Interest expense,$ 21 $ (75) $(449),,一,45 $60,77 $112,31 $64
