Notes,2020,2019,2018
Net income,"$ 5,590","$ 9,431","$ 8,728"
"Other comprehensive income/(loss),before tax",,,
Foreign currency translation adjustments,S,"(1,500)",(39)
Net changes related to available-for-sale securities,,,
Unrealized gains/(losses) arising during the period,S,(1),1
Reclassification of (gains)/losses to net income,,1,-
Total net changes related to available-for-sale securities,(1),1,(2)
Unrealized gains/(losses) on cash flow hedges,,,
Unrealized gains/(losses) arising during the period,S,(349),(689)
Reclassification of (gains)/losses to net income,,(21),75
Total unrealized gains/(losses) on cash flow hedges,(370),(614),313
Retirement-related benefit plans,,,
Prior service costs/(credits),S,(37),(73)
Net (losses)/gains arising during the period,,"(1,678)",(120)
Curtailments and settlements,,52,41
Amortization of prior service (credits)/costs,,13,(9)
Amortization of net (gains)/losses,,"2,314","1,843"
Total retirement-related benefit plans,664,"1,681",204
"Other comprehensive income/(loss),before tax",S,"(1,206)","1,029"
Income tax (expense)/benefit related to items of other comprehensive income,,,
income,S,466,(136)
Other comprehensive income/(loss),S,(740),893
Total comprehensive income,"$ 4,850","$ 10,324","$ 8,252"
