,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans
,U.S. Plan,,,,Non-U.S. Plans,
For the year ended December 31:,2020,2019,2018,2020,2019,2018
Service cost,$ 9,$10,$13,$5,$5,$5
Interest cost(),103,145,132,36,55,45
Expected return on plan assets(1),,二,0,(4),(5),(6)
Amortization of transition assets(),1,二,二,0,二,0
Amortization of prior service costs/(credits)(1),4,(2),(7),0,0,0
Recognized actuarial losses(1),29,1,10,21,10,6
Curtailments and settlements(1),,二,二,0,0,0
Other costs/(credits),,二,二,0,二,二
Total net periodic cost,$145,$154,$147,$58,$65,$51
