($ in millions),For the year ended December 31:,2020,2019,Yr.-to-Yr. Percent Change
Other (income) and expense,Foreign currency transaction losses/(gains),$ 114,$ (279),NM
Gains/(losses) on derivative instruments,(101),15,,NM
Interest income,(105),(349),,(70.0)%
Net (gains)/losses from securities and investment assets,(22),(32),,(31.8)%
Retirement-related costs/(income),"""1,123""",615,,82.5%
Other,(149),(937),,(84.2)%
Total consolidated other (income) and expense,$ 861,$ (968),,NM
Non-operating adjustments,Amortization of acquired intangible assets,(2),(2),
,Acquisition-related charges,,154,(100.0)%
Non-operating retirement-related costs/(income),"""(1,123)""",-615,,82.5%
Operating (non-GAAP) other (income) and expense,$ (265),"$"" (1,431)""",,(81.5)%
