($ in millions),Before Tax Amount,Tax (Expense)/Benefit,Net of Tax Amount
Foreign currency translation adjustments,$(730),$(172),$(902)
Net changes related to available-for-sale securities,$(2),$1,$(1)
Unrealized gains/(losses) arising during the period,$(2),$1,$(1)
Reclassification of (gains)/losses to other (income) and expense,-,-,-
Total net changes related to available-for-sale securities,$(2),$1,$(1)
Unrealized gains/(losses) on cash flow hedges,$(136),$43,$(93)
Reclassification of (gains)/losses to:,-$(30),$8,-$(22)
Cost of services,-$(30),$8,-$(22)
Cost of sales,-$(8),$3,-$(5)
Cost of financing,75,-$19,56
SG&A expense,0,0,0
Other (income) and expense,341,-$86,255
Interest expense,71,-$18,53
Total unrealized gains/(losses) on cash flow hedges,313,-$69,244
Retirement-related benefit plans,$(182),$31,-$(151)
Prior service costs/(credits),$(182),$31,-$(151)
Net (losses)/gains arising during the period,"""$(2,517)""",576,"""-$(1,941)"""
Curtailments and settlements,11,-$2,9
Amortization of prior service (credits)/costs,-$(73),5,-$(68)
Amortization of net (gains)/losses,"""2,966""",-$(632),"""2,334"""
Total retirement-related benefit plans,204,-$21,184
Other comprehensive income/(loss),$(215),$(262),$(476)
