GAAP,,Acquisition-Related Adjustments,Retirement-Related Adjustments,U.S. Tax Reform Impacts,Spin-off-Related Charges,Operating (non-GAAP)
Gross profit,"$10,523",$177,,,,"$10,700"
Gross profit margin,51.7 %,0.9 pts.,- pts.,- pts.,-,52.5 %
SG&A,"$7,232 *",$(287),$ 1,,,"$6,917 *"
RD&E,"1,611",1,,,,"1,611"
Other (income) and expense,247,(1),(295),,-,(48)
Interest expense,317,-,-,,,317
Total expense and other (income),"9,234 *",(288),(295),,(28),"8,623 *"
Pre-tax income from continuing operations,"1,289 *",465,295,,-,"2,077 *"
Pre-tax margin from continuing operations,6.3 %,2.3 pts.,1.4 pts.,- pts.,-,10.2 %
Provision for income taxes**,$25,$105,$96,$(18),,$7
Effective tax rate,1.9 %,4.6 pts.,4.4 pts.,(0.9)pts.,-,0.3 pts.
Income from continuing operations,"$1,264 *",$359,$198,$18,,$21
Income margin from continuing operations,6.2 %,1.8 pts.,1.0 pts.,0.1 pts.,-,0.1 pts.
Diluted earnings per share from continuing operations,$1.41 *,$0.40,$0.22,$0.02,,$0.02
