($ in millions),For the year ended December 31:,2020,2019,Yr-to-Yr. Percent/Margin Change
Total consolidated expense and other (income),"$30,937 *","$26,322",,"17.5 %,"
Non-operating adjustments,,,,
Amortization of acquired intangible assets,"(1,126)",(764),47.3,
,Acquisition-related charges,(13),(409),(96.8)
,Non-operating retirement-related (costs)/income,"(1,123)",(615),82.5
,Spin-off-related charges,(28),,"NM,"
Operating (non-GAAP) expense and other (income),"$28,648 *","$24,533",,"16.8 %,"
Total consolidated expense-to-revenue ratio,42.0 %,34.1 %,,"7.9 pts.,"
Operating (non-GAAP) expense-to-revenue ratio,38.9 %,31.8 %,,7.1 pts.
