At December 31:,2020,2019,2020,2019,Benefit Obligations,Fair Value of Plan Assets
U.S. Plans,,,,,Benefit Obligations,Funded Status*
Oversubscribed plans,,,,,Qualified PPP,Excess PPP
Underfunded plans,,,,,Retention Plan,Nonpension postretirement benefit plan
Total underfunded U.S. plans,"$5,653","$5,618",$15,$3,"$(5,638)","$(5,615)"
Non-U.S. Plans,,,,,Oversubscribed plans,Underfunded plans
Overfunded plans,,,,,Qualified defined benefit pension plans**,
Total overfunded non-U.S. plans,"$20,670","$18,390",$24,$269,"$3,599","$3,552"
Underfunded plans,,,,,Qualified defined benefit pension plans**,
Total underfunded non-U.S. plans,"$33,095","$30,782",$19,$617,"$(13,478)","$(12,340)"
Total overfunded plans,,,,,"$71,044","$6,865"
Total underfunded plans,"$38,747","$36,399",$19,$632,"$(19,116)","$(17,955)"
