"At December31,2019:",Americas,EMEA,Asia Pacific,
Recorded investment,,,,Total
Lease receivables,"$3,419","$1,186",$963,"$5,567"
Loan receivables,"6,726","3,901","2,395","13,022"
Ending balance,"$10,144","$5,087","$3,359","$18,590"
"Recorded investment,collectively evaluated for impairment","$10,032","$5,040","$3,326","$18,399"
"Recorded investment, individually evaluated for impairment",$ 112,$47,$32,$ 191
Allowance for credit losses,,,,
"Beginning balanceatJanuary1,2019 Lease receivables",,,,
Loan receivables,$ 53,$ 22,$ 24,$ 99
Total,105,43,32,179
Write-offs,$ 158,$ 65,$ 56,$ 279
Recoveries,(42),(3),(18),(63)
Additions/(releases),1,0,1,2
Other*,5,(7),（3）,(5
"Ending balance at December 31,2019",(1),0,(1),(2)
Lease receivables,$ 120,$ 54,$ 36,$ 210
Loan receivables,$ 33,$ 23,$ 16,$ 72
"Related allowance,collectively evaluated for impairment",$ 88,$ 31,$ 20,$ 138
"Related allowance,individually evaluated for impairment",$ 25 $ 96,$ 11 $ 43,$ 4 $ 32,$ 39 $ 171
